Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Argo;Blu-Ray;Sencilla;1;Ben Affleck;2012;Thriller. Intriga. Drama | Años 70. Política. Basado en hechos reales;Distribuida en España por Twentieth Century Fox. Warner Bros., GK Films, Smoke House Pictures. Slip-cover de Iconic moments;
Oldboy;Blu-Ray;Digipack;2;Park Chan-wook;2003;Thriller. Intriga | Secuestros / Desapariciones. Venganza. Manga;M3 (Mediatres estudio). Winds of Asia. Show East Co. Ltd, Egg Films, CJ Entertainment, CJ E&M. Incluye BR de extras y libreto. Corea del Sur;
Death Note: La película;Blu-Ray;Digipack;1;Shusuke Kaneko;2006;Thriller. Fantástico. Intriga | Crimen. Sobrenatural. Policíaco. Asesinos en serie. Manga. Live-Action;M3 (Mediatres estudio). Winds of Asia. Death Note Film Partners, Nippon TV, Shueisha, Warner Bros. Pack de 4 BR con Making of. Incluye libro de 50 págs;
Death Note: El último nombre;Blu-Ray;Digipack;1;Shusuke Kaneko;2006;Thriller. Intriga. Fantástico | Manga. Sobrenatural. Policíaco. Crimen. Asesinos en serie. Live-Action;"M3 (Mediatres estudio). Winds of Asia. Co-production Japón-Estados Unidos; Death Note Film Partners, Nippon TV, Shueisha, Warner Bros. Pack de 4 BR. Incluye libro de 50 págs";
Death Note: El nuevo mundo;Blu-Ray;Digipack;1;Shinsuke Sato;2016;Thriller. Fantástico. Intriga | Sobrenatural. Manga. Live-Action. Secuela;M3 (Mediatres estudio). Winds of Asia. Chukyo TV Broadcasting Company (CTV), D.N. Dream Partners, Dentsu Inc. Pack de 4 BR. Incluye libro de 50 págs;
Death Note: New Generation;Blu-Ray;Digipack;1;Shinsuke Sato;2016;Serie de TV. Thriller | Precuela. Live-Action;M3 (Mediatres estudio). Winds of Asia. Hulu. Se trata de un Spin off de 3 episodios. Pack de 4 BR. Incluye libro de 50 págs;
Hidden: Lo oculto;Blu-Ray;Sencilla;1;Jack Sholder;1987;Ciencia ficción. Thriller. Extraterrestres. Policíaco;New Line Cinema, Heron Communications. Incluye audio catalán. Ref. 4606;Caja 1, debajo cama (2)
Historia de Ricky;Blu-Ray;Sencilla;1;Lam Nai-Choi;1991;Acción. Thriller. Drama carcelario. Crimen. Gore. Serie B.;Golden Harvest Company. Hong Kong. Ref. TS325;Caja 1, debajo cama (2)
Miedo y asco en Las Vegas;Blu-Ray;Sencilla;1;Terry Gilliam;1998;Comedia. Comedia negra. Road Movie. Drogas;Universal Pictures, Summit Entertainment. Ref. 4745;Caja 1, debajo cama (2)
En busca del fuego;Blu-Ray;Sencilla;1;Jean-Jacques Annaud;1981;Aventuras | Prehistoria;"Co-production Canadá-Francia-Estados Unidos; Belstar Productions, Ciné Trail. Llamentol. Editado por Feel Films";Caja 1, debajo cama (2)
La noche de los muertos vivientes;Blu-Ray;Amaray Negro;1;Tom Savini;1990;Terror. Ciencia ficción. Thriller | Gore. Zombis.;Columbia Pictures, 21st Century Film Corporation. Ref. TS415;Caja 1, debajo cama (2)
Driven;Blu-Ray;Sencilla;1;Renny Harlin;2001;Acción | Deporte. Coches/Automovilismo;Franchise Pictures, Epsilon Motion Pictures, Trackform Film Productions. Ref. TS440;Caja 1, debajo cama (2)
Astérix en Bretaña;Blu-Ray;Sencilla;1;Pino Van Lamsweerde;1986;Animación. Infantil. Comedia. Aventuras | Cómic;"Co-production Francia-Dinamarca; Gaumont International Television. Llamentol (Distribuido). TrackMedia (Editado). AVEI (Asociación Videográfica Española Independiente)";Caja 1, debajo cama (2)
Astérix y la sorpresa del César;Blu-Ray;Sencilla;1;Gaëtan Brizzi, Paul Brizzi;1985;Animación. Infantil. Comedia. Aventuras | Cómic;Les Productions René Goscinny, Dargaud Films, Gaumont. Llamentol (Distribuido). TrackMedia (Editado). AVEI (Asociación Videográfica Española Independiente);Caja 1, debajo cama (2)
Rock & Rule;Blu-Ray;Sencilla;1;Clive A. Smith;1983;Animación. Musical. Ciencia ficción | Música;Nelvana Limited, Canada Trust, CFDC, Dratsco, Famous Players, Metro-Goldwyn-Mayer (MGM). Cinema International Media. BR -R. LL2515;Caja 1, debajo cama (2)
Apocalypto;Blu-Ray/DVD;Sencilla;2;Mel Gibson;2006;Aventuras. Acción. Drama | Siglo XVI;Selecta Visión. Touchstone Pictures, Icon Productions. Ambi media group. Edición combo;Caja 2, debajo cama (2)
La llamada de lo salvaje;Blu-Ray;Sencilla;1;Chris Sanders;2020;Aventuras. Drama | Animales. Naturaleza.;Walt Disney Company. 3 Arts Entertainment, 20th Century Studios (Distribuidora: 20th Century Studios);
La máscara del Zorro;Blu-Ray;Sencilla;1;Martin Campbell;1998;Aventuras. Romance | Siglo XIX. Capa y espada. Venganza;Distribuido por Sony. Amblin Entertainment, TriStar Pictures, David Foster Productions. Colección 2 peliculas;
La leyenda del Zorro;Blu-Ray;Sencilla;1;Martin Campbell;2005;Aventuras. Acción | Secuela. Siglo XIX. Capa y espada;Columbia Pictures. Spyglass entertainment. Colección 2 peliculas;
Little Boy;Blu-Ray;Sencilla;1;Alejandro Monteverde;2015;Drama. Bélico | Infancia. Años 40. II Guerra Mundial;"Karma Films. European Dreams Factory. Co-production México-Estados Unidos; Santa Fé Films, Metanoia Films. Vertice";
Camina conmigo;Blu-Ray;Sencilla;1;Marc Francis, Max Pugh;2017;Documental;"Karma Films. Co-production Reino Unido-Francia-Estados Unidos; Speakit Films. Incluye audio catalán";
Más poderoso que la vida;Blu-Ray;Sencilla;1;Nicholas Ray;1956;Drama. Melodrama. Familia. Enfermedad. Medicina;Karma Films (Comercializada) 20th Century Fox (Distribuida).  Amary azul reciclable;
El benefactor;Blu-Ray;Sencilla;1;Andrew Renzi;2015;Drama;Divisa Home Video. Inopia Films. Big Shoes Media, Audax Films, Magnolia Entertainment;
Match Point;Blu-Ray;Sencilla;1;Woody Allen;2005;Drama. Romance | Tenis. Drama romántico;"Divisa Home Video. Beta. Co-production Reino Unido-Estados Unidos; BBC Films, DreamWorks SKG. Incluye audio catalán";
Las montañas de la luna;Blu-Ray;Sencilla;1;Bob Rafelson;1990;Aventuras | Siglo XIX. África. Amistad. Basado en hechos reales;Divisa Home Video. Studiocanal. TriStar Pictures, Carolco Pictures, IndieProd.;
First Love;Blu-Ray;Sencilla;1;Takashi Miike;2019;Thriller. Acción. Comedia. Romance | Yakuza & Triada.;"Divisa Home Video. Bartonfilms. Co-production Japón-Reino Unido; Recorded Picture Company (RPC), Oriental Light and Magic (OLM), Toei. Japón";
El rehén;Blu-Ray;Sencilla;1;Brad Anderson;2018;Thriller. Acción | Espionaje. Años 80;Adso Films. DeAPlaneta. Radar Pictures, ShivHans Pictures (Distribuidora: Bleecker Street);
Caza al asesino;Blu-Ray;Sencilla;1;Pierre Morel;2015;Thriller. Acción | Espionaje;"Emmon. Savor ediciones. The Gunman. Co-production Reino Unido-España-Francia-Estados Unidos; ACE, Nostromo Pictures, Studiocanal, Silver Pictures, Canal+.";
The Hunger. El lado salvaje del deseo;Blu-Ray/DVD;Sencilla;2;Tony Scott, Jake Scott, Russell Mulcahy;1997;Terror. Drama | Erótico. Película de episodios;Tema distribuciones. Cameo. Scott Free Productions, The Movie Network (TMN), Telescene Film Group Productions;
La familia que tú eliges;Blu-Ray;Amaray Rosa;1;Tyler Nilson, Mike Schwartz;2019;Drama. Cine independiente USA. Discapacidad. Amistad;a contracorriente films. Europa Distribution. Lucky Treehouse, Armory Films, 1993, Nut Bucket Films. Incluye audio catalán. AC0946;
El mejor verano de mi vida;Blu-Ray;Amaray Amarillo;1;Dani de la Orden;2018;Comedia | Remake;a contracorriente films. Europa distribution. Álamo Audiovisual. AC0759;Caja 2, debajo cama (2)
Asher;Blu-Ray;Amaray Naranja;1;Michael Caton-Jones;2018;Drama;a contracorriente films. Europa distribution. Wing and a Prayer Pictures, Mensch Productions. AC0824;Caja 2, debajo cama (2)
Vivarium;Blu-Ray;Amaray Rojo;1;Lorcan Finnegan;2019;Ciencia ficción. Intriga. Terror | Distopía;"a contracorriente films. Europa Distribution. Co-production Irlanda-Bélgica-Dinamarca-Estados Unidos; Fantastic Films, Frakas Productions, PingPong Film, XYZ Films. AC0926";
El gran Buster;Blu-Ray;Amaray Rojo;1;Peter Bogdanovich;2018;Documental | Documental sobre cine. Biográfico;a contracorriente films. European Distribution. Cohen Media Group. AC0866;Caja 2, debajo cama (2)
Pavarotti;Blu-Ray;Amaray Negro;1;Ron Howard;2019;Documental | Biográfico. Documental sobre música;"a contracorriente films. European Distribution. Co-production Reino Unido-Estados Unidos; Imagine Entertainment, Polygram Filmed Entertainment, Studiocanal, White Horse Pictures. AC0913";Caja 2, debajo cama (2)
The Wall;Blu-Ray;Sencilla;1;Doug Liman;2017;Bélico | Guerra de Iraq;a contracorriente films. Europa Distribution. Amazon Prime Video, Big Indie Pictures, Pictures in a Row. Incluye audio catalán. AC0740;Caja 2, debajo cama (2)
Un otoño sin Berlín;Blu-Ray;Sencilla;1;Lara Izagirre;2015;Drama. Romance | Drama romántico;a contracorriente films. European distribution. Gariza Produkzioak. AC0470;
Mañana empieza todo;Blu-Ray;Sencilla;1;Hugo Gélin;2016;Comedia. Drama | Remake. Comedia dramática.;a contracorriente films. European Distribution. Vendôme Production, Mars Films, TF1 Films Production, Poisson Rouge Pictures. Incluye audio catalán. AC0626;
Hacerse mayor y otros problemas;Blu-Ray;Sencilla;1;Clara Martínez-Lázaro;2018;Comedia. Drama. Romance;a contracorriente films. Europa Distribution. Producciones Kaplan, La Madrina Producciones, Impala. AC0733;
La cabaña en el bosque;Blu-Ray;Sencilla;1;Drew Goddard;2012;Terror. Ciencia ficción. Fantástico. Monstruos;La Aventura Audiovisual. Lionsgate , Mutant Enemy. 06499;
Rompenieves (Snowpiercer);Blu-Ray;Sencilla;1;Bong Joon-ho;2013;Ciencia ficción. Thriller. Acción | Futuro postapocalíptico.;"La Aventura. Co-production Corea del Sur-Estados Unidos; Moho Films, Opus Pictures. CJ Entertainment. Nostromo Pictures. Corea del Sur. 06638";
El joven Lincoln;Blu-Ray/DVD;Especial;2;John Ford;1939;Drama | Biográfico. Drama judicial. Siglo XIX. Política;La Aventura. 20th Century Fox. Hollywood Classics. Incluye DVD de extras. 07209;
La vida de Calabacín;Blu-Ray;Sencilla;1;Claude Barras;2016;Animación. Drama. Comedia | Stop Motion;"La Aventura Audiovisual. Co-production Suiza-Francia; Rita Productions, Blue Spirit Animation, Gébéka Films. 07251";
Caza al asesino;Blu-Ray;Sencilla;1;Scott Walker;2013;Intriga. Thriller | Basado en hechos reales. Años 80;La Aventura. Lionsgate , EFO Films. Georgia Film Fund Five;
Coherence;Blu-Ray;Amaray Negro;1;James Ward Byrkit;2013;Intriga. Thriller. Ciencia ficción;La Aventura Audiovisual. Bellanova Films, Ugly Duckling Films. Glowstick;
La invitación;Blu-Ray;Amaray Negro;1;Karyn Kusama;2015;Thriller. Terror | Thriller psicológico. Sectas.;La Aventura Audiovisual. Gamechanger Films, The Invitation, Lege Artis;
Acción policial;Blu-Ray;Amaray Negro;1;Sheng Ding;2013;Acción. Drama. Thriller | Policíaco. Venganza.;"La Aventura Audiovisual. Co-production China-Hong Kong; China Vision, Wanda Media";
El caso Heineken;Blu-Ray;Amaray Negro;1;Daniel Alfredson;2015;Drama. Thriller. Acción | Crimen. Secuestros / Desapariciones;"La Aventura Audiovisual. Co-production Bélgica-Reino Unido-Países Bajos (Holanda); European Film Company, Informant Europe SPRL, Umedia";
Zona de Combate (Hyena Road);Blu-Ray;Amaray Negro;1;Paul Gross;2015;Drama. Bélico | Historias cruzadas;La Aventura Audiovisual. Rhombus Media, Buffalo Gal Pictures, International Traders;
La puerta del cielo;Blu-Ray/DVD;Amaray Negro;2;Michael Cimino;1980;Western. Drama | Siglo XIX;La Aventura Audiovisual. United Artists. Metro-Goldwyn-Mayer Studios Pelicula en VOSE. Incluye DVD de extras;
Bone Tomahawk;Blu-Ray;Amaray Negro;1;S. Craig Zahler;2015;Western. Terror. Secuestros / Desapariciones. Gore;La Aventura Audiovisual. Twilight Riders. Caliber Media Company, thefyzz, Realmbuilder Productions. Incluye folleto;
Operación Anthropoid;Blu-Ray;Amaray Negro;1;Sean Ellis;2016;Bélico. Thriller | Nazismo. II Guerra Mundial.;"La Aventura. Co-production República Checa-Reino Unido-Estados Unidos-Francia; LD Entertainment, 22h22, Lucky Man Films";
Southbound;Blu-Ray;Amaray Negro;1;Roxanne Benjamin, David Bruckner;2015;Terror. Thriller | Historias cruzadas;La Aventura Audiovisual. Willowbrook Regent Films, Soapbox Films;
Operación Chromite;Blu-Ray;Amaray Negro;1;John H. Lee;2016;Bélico. Acción. Drama | Histórico. Guerra de Corea;La Aventura Audiovisual. Taewon Entertainment, CJ Entertainment, Celltrion Entertainment, Corea del sur;
Frío en julio;Blu-Ray;Amaray Negro;1;Jim Mickle;2014;Thriller. Drama | Crimen. Venganza. Años 80;La Aventura Audiovisual. BSM Studio, Backup Media, Bullet Pictures, Paradise City;
Los hambrientos;Blu-Ray;Amaray Negro;1;Robin Aubert;2017;Terror. Drama | Zombis;La Aventura. La Maison de Prod, Christal Films Distribution, Téléfilm Canada;
Willow Creek;Blu-Ray;Amaray Negro;1;Bobcat Goldthwait;2013;Terror | Monstruos. Metraje encontrado;La Aventura Audiovisual. Jerkschool Productions. Kowtow Productions;
Monstruos University;Blu-Ray;Steelbook;2;Dan Scanlon;2013;Animación. Fantástico. Comedia;Pixar Animation Studios, Walt Disney Pictures. Incluye BR de extras;
Revenge;Blu-Ray;Steelbook;1;Coralie Fargeat;2017;Thriller | Venganza. Abusos sexuales. Gore. Caza;"a contracorriente films. Co-production Francia-Bélgica; M.E.S. Productions, Monkey Pack Films, Logical Pictures, Charades";
Encadenados;Blu-Ray/DVD;Especial;1;Alfred Hitchcock;1946;Intriga. Thriller. Cine negro | Espionaje. Nazismo;RKO Radio Pictures. Ref. TS531. Incluye 8 postales. Incluye DVD de extras. Edición limitada 0111/1600;Caja 1, debajo cama (2)
Crying Freeman: Los paraísos perdidos;Blu-Ray;Especial;1;Christophe Gans;1995;Acción | Yakuza & Triada. Manga. Live-Action;"Co-production Francia-Canadá-Japón-Estados Unidos; Toei Video Company, Fuji TV, Tohokushinsha Film Corporation (TFC), Davis Films, Ozla Pictures, Yuzna Films. Ref. TS492. Incluye 8 postales. Ed. Limitada 0573/1600";Caja 1, debajo cama (2)
El Gran Vázquez;Blu-Ray;Sencilla;1;Óscar Aibar;2010;Comedia | Biográfico. Años 60;Cameo. AVEI. Distinto Films, Tornasol Films, Castafiore Films, Canal+ España. Audio catalán;
El Redentor;Blu-Ray;Sencilla;1;Lee Jeong-beom;2014;Thriller. Acción;M3 (Mediatres estudio). Winds of Asia.  CJ Entertainment, Dice Film, Musa Productions. Incluye libreto. Corea del sur;
Lupin y el corazón púrpura de Cleopatra;Blu-Ray;Sencilla;1;Ryûhei Kitamura, James Bobin;2014;Intriga. Thriller. Comedia | Manga. Live-Action;M3 (Mediatres estudio). Winds of Asia. Tokyo Broadcasting System (TBS), Kadokawa, Tristone Entertainment Inc;
Museum;Blu-Ray;Sencilla;1;Keishi Ohtomo;2016;Thriller | Manga. Asesinos en serie. Crimen. Policíaco;M3 (Mediatres estudio). Winds of Asia. Twins Japan (Distribuidora: Warner Bros. Pictures). Amaray negro. Slip-Cover. Incluye libreto. Incluye audio catalán. Japón;
Pi, fe en el caos;Blu-Ray;Sencilla;1;Darren Aronofsky;1998;Intriga. Fantástico. Drama | Película de culto.;39 escalones films. ARTISAN. Planttain Films, Harvest Filmworks, Truth and Soul Pictures, Protozoa Pictures. B/N;
Blancanieves;Blu-Ray;Amaray Negro;1;Pablo Berger;2012;Drama | Años 20. Melodrama. Toros. Cuentos. Cine mudo;"Cameo Media. Wandavisión. Co-production España-Francia; Arcadia Motion Pictures, Noodles Production. B/N";
Cure;Blu-Ray;Sencilla;1;Kiyoshi Kurosawa;1997;Thriller. Intriga. Terror | Thriller psicológico.;M3 (Mediatres estudio). Winds of Asia. Code Red, Daiei Studios;
El tiempo contigo;Blu-Ray;Steelbook;2;Makoto Shinkai;2019;Animación. Fantástico. Drama. Romance | Adolescencia.;Selecta Visión. CoMix Wave Films. Incluye BR de extras. Audio catalán. Cartón exterior con cajón donde guardar el SteelBook;
El tiempo contigo;Blu-Ray;Coleccionista;3;Makoto Shinkai;2019;Animación. Fantástico. Drama. Romance | Adolescencia.;Selecta Visión. CoMix Wave Films. Incluye BR de extras y CD con la BSO. Libro de 102 paginas. Audio catalán.;
Gatos. Un viaje de vuelta a casa;Blu-Ray;Sencilla;1;Motonori Sakakibara, Kunihiko Yuyama;2016;Animación. Aventuras. Comedia | Gatos;Selecta Visión. Distribuido por 20th Century Fox. OLM Digital, Oriental Light and Magic (OLM), Sprite Animation Studios. Portada reversible;
Rôjin Z (Roujin Z);Blu-Ray/DVD;Sencilla;2;Hiroyuki Kitakubo;1991;Animación. Acción. Ciencia ficción. Comedia | Robots;Selecta Visión. Distribuido por Sony. Tokyo Theatres K.K., Sony Music Japan, Movic;
Pokémon 10: El desafío de Darkrai;DVD;Sencilla;1;Kunihiko Yuyama;2007;Animación. Fantástico. Aventuras.;Universal. Distribuido por Sony. Coproducción Japón-Estados Unidos.;
Pokémon 15: Kyurem contra el Espadachín Místico;DVD;Sencilla;1;Kunihiko Yuyama;2012;Animación. Fantástico. Aventuras;Universal. Distribuida por Paramount. Oriental Light and Magic (OLM), GAME FREAK Inc., East Japan Marketing & Communications, Shogakukan-Shueisha Productions. Production I.G;
Appleseed: Alpha;DVD;Sencilla;1;Shinji Aramaki;2014;Animación. Ciencia ficción. Acción | Robots. Manga;Sony. Distribuido por Twentieth Century Fox. Sola Digital Arts, Stage 6 Films, Lucent Pictures Entertainment;
Buda: El gran viaje;Blu-Ray;Sencilla;1;K?z? Morishita;2011;Animación. Drama | Histórico. Cine épico;M3 (Mediatres estudio). Winds of Asia. Toei Animation;
Cactus Jack;DVD;Sencilla;1;Hal Needham;1979;Comedia. Western;TS499. Columbia Pictures. Arnold Schwarzenegger (The Villain);
Cowboy Bebop, la película: Llamando a las puertas del cielo;DVD;Amaray Rojo;1;Shin'ichir? Watanabe;2001;Animación. Ciencia ficción. Acción. Thriller;"Columbia Tristar. Destination Films. Coproducción Japón-Estados Unidos; Bandai Visual, BONES, Sunrise, Inc. Cowboy Bebop: The Movie. Edicion para alquiler. Segunda mano";
Tokyo Godfathers;DVD;Sencilla;1;Satoshi Kon, Shôgo Furuya;2003;Animación. Drama. Comedia | Pobreza.;Columbia Tristar. Sony. Madhouse. Edicion para alquiler. Segunda mano;
Haru en el reino de los gatos;DVD;Sencilla;1;Hiroyuki Morita;2002;Animación. Fantástico. Aventuras. Infantil.;Cameo. Cameo media S.L. Studio Ghibli. Productor: Hayao Miyazaki;
La leyenda del samurái (47 Ronin);Blu-Ray;Especial;1;Carl Erik Rinsch;2013;Acción. Drama. Fantástico | Japón feudal. Samuráis.;Universal Pictures, H2F Entertainment, Bluegrass Films. Edición Italiana con funda cartón que incluye desplegable con un arte grafico. Edició limitada a 1.500. Nº 0854;
The Relic;Blu-Ray;Especial;1;Peter Hyams;1997;Terror. Intriga | Monstruos;Reel One. Universal Pictures. Slip-cover. Incluye Libreto. Coproducción Estados Unidos-Reino Unido-Alemania. Audio catalaá. Park Circus;
En algún lugar del tiempo;Blu-Ray;Especial;1;Jeannot Szwarc;1980;Romance. Drama. Fantástico;Reel One. Universal Pictures. Slip-cover. Incluye Libreto. Audio catalán. Park Circus;
Caras y lugares;Blu-Ray;Sencilla;1;Agnès Varda, Jean René;2017;Documental;a contracorriente films. Ciné Tamaris, arte France Cinéma, Social Animals. Slip-cover. Incluye libreto. Audio catalán;
Regreso a Howards End;Blu-Ray;Sencilla;1;James Ivory;1992;Drama | Drama de época. Siglo XIX;a contracorriente films. Merchant Ivory Production, Film Four International. Sony. Slip-cover. Amaray dorado.;
