Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Comando G - La batalla de los planetas;DVD;Pack DVD Sencillo;7;David E. Hanson;1978;Serie de TV. Animación. Acción. Ciencia ficción. Aventuras;Temporada 1 - 26 Episodios. ;
Pumping Iron;DVD;Sencilla;1;George Butler, Robert Fiore;1977;Documental. Drama | Documental deportivo;Arnold Schwarzenegge. Documental. Realizado en 1975 (comercializado en 1977);
La Barraca;Blu-Ray;Sobre Cartón;2;León Klimovsky;1979;Serie de TV. Drama | Miniserie de TV;Miniserie de 9 episodios. Divisa. CRTVE SAU 2012;
La Tortuga Roja;Blu-Ray/DVD + CD;Digipack Coleccionista;3;Michael Dudok de Wit;2016;Animación. Aventuras. Drama. Fantástico | Naturaleza;"Historia muda. Coproducción Francia-Bélgica-Japón; Why Not Productions / Wild Bunch / Studio Ghibli. Incluye CD con la banda sonora y libreto de 32 páginas. Karma Films";
El niño y la bestia;Blu-Ray/DVD + CD;Digipack Coleccionista;3;Mamoru Hosoda;2015;Animación. Fantástico | Amistad. Monstruos. Familia;Edición limitada 0606/1509 unidades. A Contracorriente Films. Sitges 2015. Con doblaje catalán. Incluye CD con la banda sonora y libreto de 40 páginas.;
Nostalgia;DVD;Sencilla con libreto;2;Andrei Tarkovsky;1983;Drama | Drama psicológico;Colección Andrei Tarkovsky 2DVD. Edición especial 2 discos contiene libreto de 24 páginas.;
El espejo;DVD;Sencilla con libreto;1;Andrei Tarkovsky;1975;Drama | Familia. Infancia. Años 30. Años 40. II Guerra;Colección Andrei Tarkovsky. Unión Soviética (URSS). Incluye libreto de 24 páginas;
Andrei Rublev;DVD;Sencilla con libreto;2;Andrei Tarkovsky;1966;Drama | Biográfico. Siglo XV. Edad Media. Religión.;Colección Andrei Tarkovsky. Unión Soviética (URSS). Incluye libreto de 24 páginas;
La infancia de Iván;DVD;Sencilla con libreto;1;Andrei Tarkovsky;1962;Drama. Bélico | II Guerra. Espionaje. Nacismo;Colección Andrei Tarkovsky. Unión Soviética (URSS). Incluye libreto de 24 páginas;
Vis a Vis;Blu-Ray;Pack Blu-Ray Sencillo;7;Iván Escobar, Esther Martínez Lobato, Daniel Écija, Álex Pina;2015;Serie de TV. Thriller. Drama | Drama carcelario;"Serie completa (hasta la fecha) 2 temporadas. Emitida por Antena 3 Televisión, FOX; Globomedia. Divisa. Más de 9 horas de extras.";
